title,url,published,document_type,organisations,evaluation_type,method_signal
Evaluation Of General Budget Support: Synthesis report,https://www.gov.uk/government/publications/evaluation-of-general-budget-support-synthesis-report,2006-05-01T00:00:00Z,independent_report,Department for International Development,economic,unstated
Evaluation Of General Budget Support – Rwanda Country Report (gbs-rwanda),https://www.gov.uk/government/publications/evaluation-of-general-budget-support-rwanda-country-report-gbs-rwanda,2006-05-01T00:00:00Z,independent_report,Department for International Development,impact,quasi_experimental
"Evaluation Of DFID Country Programmes: Bangladesh, 2000-2005 (ev665-summary)",https://www.gov.uk/government/publications/evaluation-of-dfid-country-programmes-bangladesh-2000-2005-ev665-summary,2006-05-01T00:00:00Z,independent_report,Department for International Development,impact,unstated
Evaluation Of General Budget Support – Nicaragua Country Report (gbs-nicaragua),https://www.gov.uk/government/publications/evaluation-of-general-budget-support-nicaragua-country-report-gbs-nicaragua,2006-05-01T00:00:00Z,independent_report,Department for International Development,impact,unstated
Evaluation Of General Budget Support – Uganda Country Report (gbs-uganda),https://www.gov.uk/government/publications/evaluation-of-general-budget-support-uganda-country-report-gbs-uganda,2006-05-01T00:00:00Z,independent_report,Department for International Development,impact,unstated
Evaluation Of General Budget Support – Mozambique Country Report (gbs-mozambique),https://www.gov.uk/government/publications/evaluation-of-general-budget-support-mozambique-country-report-gbs-mozambique,2006-05-01T00:00:00Z,independent_report,Department for International Development,impact,unstated
Evaluation Of General Budget Support – Malawi Country Report (gbs-malawi),https://www.gov.uk/government/publications/evaluation-of-general-budget-support-malawi-country-report-gbs-malawi,2006-05-01T00:00:00Z,independent_report,Department for International Development,impact,unstated
Evaluation Of DFID Country Programmes Country Study: Bangladesh 2000 – 2005 (ev665),https://www.gov.uk/government/publications/evaluation-of-dfid-country-programmes-country-study-bangladesh-2000-2005-ev665,2006-05-01T00:00:00Z,independent_report,Department for International Development,impact,unstated
Evaluation Of General Budget Support – Burkina Faso: Country Report (gbs-burkina-faso),https://www.gov.uk/government/publications/evaluation-of-general-budget-support-burkina-faso-country-report-gbs-burkina-faso,2006-05-01T00:00:00Z,independent_report,Department for International Development,impact,unstated
Interim Evaluation of ‘Taking Action’: The UK Government’s Strategy for Tackling HIV and AIDS in the Developing World: Inception Report (ev666),https://www.gov.uk/government/publications/interim-evaluation-of-taking-action-the-uk-government-s-strategy-for-tackling-hiv-and-aids-in-the-developing-world-inception-report-ev666,2006-05-01T00:00:00Z,independent_report,Department for International Development,feasibility,unstated
"Evaluation Of DFID Country Programmes: Malawi, 2000-2005 (ev661-summary)",https://www.gov.uk/government/publications/evaluation-of-dfid-country-programmes-malawi-2000-2005-ev661-summary,2006-04-01T00:00:00Z,independent_report,Department for International Development,impact,unstated
Evaluation Of DFID Country Programmes Country Study: Malawi 2000 – 2005 (ev661),https://www.gov.uk/government/publications/evaluation-of-dfid-country-programmes-country-study-malawi-2000-2005-ev661,2006-04-01T00:00:00Z,independent_report,Department for International Development,impact,unstated
Evaluation Of Dfid Country Programmes: Country Study Rwanda 2000 – 2005 (ev660),https://www.gov.uk/government/publications/evaluation-of-dfid-country-programmes-country-study-rwanda-2000-2005-ev660,2006-01-01T00:00:00Z,independent_report,Department for International Development,impact,unstated
Evaluation Of Dfid Country Programmes: Country Study Rwanda 2000 – 2005 (Summary) (ev660-summary),https://www.gov.uk/government/publications/evaluation-of-dfid-country-programmes-country-study-rwanda-2000-2005-summary-ev660-summary,2006-01-01T00:00:00Z,independent_report,Department for International Development,impact,unstated
Maintaining Momentum Towards The MDGs: An Impact Evaluation Of Interventions To: Improve Maternal And Child Health And Nutrition Outcomes In Bangladesh (evsum mdgs-bangladesh),https://www.gov.uk/government/publications/maintaining-momentum-towards-the-mdgs-an-impact-evaluation-of-interventions-to-improve-maternal-and-child-health-and-nutrition-outcomes-in-bangladesh-evsum-mdgs-bangladesh,2005-09-01T00:00:00Z,independent_report,Department for International Development,impact,unstated
Evaluating the labour market impact of Working Families' Tax Credit,https://www.gov.uk/government/publications/evaluating-the-labour-market-impact-of-working-families-tax-credit,2005-06-08T23:00:00Z,research,HM Revenue & Customs,impact,quasi_experimental
Evaluation Of General Budget Support: Joint Evaluation Of General Budget Support: Inception Report (evd2),https://www.gov.uk/government/publications/evaluation-of-general-budget-support-joint-evaluation-of-general-budget-support-inception-report-evd2,2005-06-01T00:00:00Z,independent_report,Department for International Development,feasibility,unstated
RNRRS: Evaluation Of DFID’s Renewable Natural Resources  Research Strategy (RNRSS) 1995-2005 (ev659s),https://www.gov.uk/government/publications/rnrrs-evaluation-of-dfid-s-renewable-natural-resources-research-strategy-rnrss-1995-2005-ev659s,2005-06-01T00:00:00Z,independent_report,Department for International Development,evidence_synthesis,unstated
"Joint Evaluation Of General Budget Support 1994–2004: Burkina Faso, Malawi, Mozambique, Nicaragua, Rwanda, Uganda, Vietnam: Final Inception Report (gbs-inception-report)",https://www.gov.uk/government/publications/joint-evaluation-of-general-budget-support-1994-2004-burkina-faso-malawi-mozambique-nicaragua-rwanda-uganda-vietnam-final-inception-report-gbs-inception-report,2005-05-20T00:00:00Z,independent_report,Department for International Development,feasibility,unstated
Evaluation Of DFID’s Country Programmes: Country Study Lesotho 2000 – 2004 (ev657),https://www.gov.uk/government/publications/evaluation-of-dfid-s-country-programmes-country-study-lesotho-2000-2004-ev657,2005-05-02T00:00:00Z,independent_report,Department for International Development,impact,unstated
Working Paper 15: Evaluating Progress Towards Harmonisation (harmon-wp-15),https://www.gov.uk/government/publications/working-paper-15-evaluating-progress-towards-harmonisation-harmon-wp-15,2005-05-01T00:00:00Z,independent_report,Department for International Development,unclear,unstated
Evaluation Of DFID Country Programmes: Country Study Lesotho 2000–2004 (evsum-ev657),https://www.gov.uk/government/publications/evaluation-of-dfid-country-programmes-country-study-lesotho-2000-2004-evsum-ev657,2005-05-01T00:00:00Z,independent_report,Department for International Development,impact,unstated
Evaluation of DFID Development Assistance: Gender Equality and Women’s Empowerment,https://www.gov.uk/government/publications/evaluation-of-dfid-development-assistance-gender-equality-and-women-s-empowerment,2005-03-01T00:00:00Z,independent_report,Department for International Development,impact,unstated
Evaluation Of DFID Development Assistance: Gender Equality And Women’s Empowerment: Phase II Thematic Evaluation: Education (wp11),https://www.gov.uk/government/publications/evaluation-of-dfid-development-assistance-gender-equality-and-women-s-empowerment-phase-ii-thematic-evaluation-education-wp11,2005-03-01T00:00:00Z,independent_report,Department for International Development,impact,unstated
Evaluation of DFID Development Assistance: Gender Equality and,https://www.gov.uk/government/publications/evaluation-of-dfid-development-assistance-gender-equality-and--10,2005-03-01T00:00:00Z,independent_report,Department for International Development,impact,unstated
Evaluation of DFID Development Assistance: Gender Equality and,https://www.gov.uk/government/publications/evaluation-of-dfid-development-assistance-gender-equality-and--9,2005-03-01T00:00:00Z,independent_report,Department for International Development,impact,unstated
Evaluation Of DFID Development Assistance: Gender Equality And Women’s Empowerment: Phase II Thematic Evaluation: Migration And Development (wp13),https://www.gov.uk/government/publications/evaluation-of-dfid-development-assistance-gender-equality-and-women-s-empowerment-phase-ii-thematic-evaluation-migration-and-development-wp13,2005-03-01T00:00:00Z,independent_report,Department for International Development,impact,unstated
Evaluation Of DFID Development Assistance: Gender Equality And Women’s Empowerment: Phase II Thematic Evaluation: Conflict And Post Conflict (wp12),https://www.gov.uk/government/publications/evaluation-of-dfid-development-assistance-gender-equality-and-women-s-empowerment-phase-ii-thematic-evaluation-conflict-and-post-conflict-wp12,2005-03-01T00:00:00Z,independent_report,Department for International Development,impact,unstated
Evaluation Of DFID Policies And Practices On Gender Equality And Women’s Empowerment: Phase II Thematic Evaluation Modules: HIV and AIDS (wp14),https://www.gov.uk/government/publications/evaluation-of-dfid-policies-and-practices-on-gender-equality-and-women-s-empowerment-phase-ii-thematic-evaluation-modules-hiv-and-aids-wp14,2005-03-01T00:00:00Z,independent_report,Department for International Development,impact,unstated
Evaluation Of DFID Development Assistance: Gender Equality And Women’s Empowerment: Phase II Thematic Evaluation: Enabling Environment For Growth And Investment (wp10),https://www.gov.uk/government/publications/evaluation-of-dfid-development-assistance-gender-equality-and-women-s-empowerment-phase-ii-thematic-evaluation-enabling-environment-for-growth-and-investment-wp10,2005-03-01T00:00:00Z,independent_report,Department for International Development,impact,unstated
